County,Municipality,"Optical/Digital Scan Tabulator (Vendor/Dealer-Model)_x000D_
*Note:  If this municipality uses multiple types of tabulator equipment, please contact the G.A.B. Help Desk at 608-261-2028 or GABHelpDesk@wi.gov.",Accessible Voting Equipment Vendor/Dealer-Model
BARRON - 03,TOWN OF ALMENA - 03002,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF ARLAND - 03004,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF BARRON - 03006,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF BEAR LAKE - 03008,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF CEDAR LAKE - 03010,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF CHETEK - 03012,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF CLINTON - 03014,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF CRYSTAL LAKE - 03016,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF CUMBERLAND - 03018,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF DALLAS - 03020,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF DOVRE - 03022,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF DOYLE - 03024,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF LAKELAND - 03026,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF MAPLE GROVE - 03028,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF MAPLE PLAIN - 03030,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF OAK GROVE - 03032,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF PRAIRIE FARM - 03034,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF PRAIRIE LAKE - 03036,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF RICE LAKE - 03038,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF SIOUX CREEK - 03040,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF STANFOLD - 03042,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF STANLEY - 03044,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF SUMNER - 03046,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF TURTLE LAKE - 03048,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,TOWN OF VANCE CREEK - 03050,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,VILLAGE OF ALMENA - 03101,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,VILLAGE OF CAMERON - 03111,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,VILLAGE OF DALLAS - 03116,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,VILLAGE OF HAUGEN - 03136,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,VILLAGE OF PRAIRIE FARM - 03171,None ,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,VILLAGE OF TURTLE LAKE - MAIN - 03186,None ,Dominion (Sequoia)/Command Central-Edge
BAYFIELD - 04,CITY OF BAYFIELD - 04206,ES&S M100,ES&S Automark
BAYFIELD - 04,CITY OF WASHBURN - 04291,ES&S M100,ES&S Automark
BAYFIELD - 04,TOWN OF BARKSDALE - 04002,ES&S M100,ES&S Automark
BAYFIELD - 04,TOWN OF BARNES - 04004,ES&S M100,ES&S Automark
BAYFIELD - 04,TOWN OF BAYFIELD - 04006,ES&S M100,ES&S Automark
BAYFIELD - 04,TOWN OF BAYVIEW - 04008,ES&S M100,ES&S Automark
BAYFIELD - 04,TOWN OF BELL - 04010,None ,ES&S Automark
BAYFIELD - 04,TOWN OF CABLE - 04012,ES&S M100,ES&S Automark
BAYFIELD - 04,TOWN OF CLOVER - 04014,None ,ES&S Automark
BAYFIELD - 04,TOWN OF DELTA - 04016,None ,ES&S Automark
BAYFIELD - 04,TOWN OF DRUMMOND - 04018,None ,ES&S Automark
BAYFIELD - 04,TOWN OF EILEEN - 04020,ES&S M100,ES&S Automark
BAYFIELD - 04,TOWN OF GRAND VIEW - 04021,ES&S M100,ES&S Automark
BAYFIELD - 04,TOWN OF HUGHES - 04022,None ,ES&S Automark
BAYFIELD - 04,TOWN OF IRON RIVER - 04024,ES&S M100,ES&S Automark
BAYFIELD - 04,TOWN OF KELLY - 04026,None ,ES&S Automark
BAYFIELD - 04,TOWN OF KEYSTONE - 04028,None ,ES&S Automark
BAYFIELD - 04,TOWN OF LINCOLN - 04030,None ,ES&S Automark
BAYFIELD - 04,TOWN OF MASON - 04032,None ,ES&S Automark
BAYFIELD - 04,TOWN OF NAMAKAGON - 04034,None ,ES&S Automark
BAYFIELD - 04,TOWN OF ORIENTA - 04036,None ,ES&S Automark
BAYFIELD - 04,TOWN OF OULU - 04038,None ,ES&S Automark
BAYFIELD - 04,TOWN OF PILSEN - 04040,None ,ES&S Automark
BAYFIELD - 04,TOWN OF PORT WING - 04042,None ,ES&S Automark
BAYFIELD - 04,TOWN OF RUSSELL - 04046,ES&S M100,ES&S Automark
BAYFIELD - 04,TOWN OF TRIPP - 04048,None ,ES&S Automark
BAYFIELD - 04,TOWN OF WASHBURN - 04050,ES&S M100,ES&S Automark
BAYFIELD - 04,VILLAGE OF MASON - 04151,None ,ES&S Automark
BROWN - 05,CITY OF DE PERE - 05216,ES&S DS200,ES&S Automark
BROWN - 05,CITY OF GREEN BAY - 05231,ES&S DS200,ES&S Automark
BROWN - 05,TOWN OF EATON - 05010,ES&S DS200,ES&S Automark
BROWN - 05,TOWN OF GLENMORE - 05012,ES&S DS200,ES&S Automark
BROWN - 05,TOWN OF GREEN BAY - 05014,ES&S DS200,ES&S Automark
BROWN - 05,TOWN OF HOLLAND - 05018,ES&S DS200,ES&S Automark
BROWN - 05,TOWN OF HUMBOLDT - 05022,ES&S DS200,ES&S Automark
BROWN - 05,TOWN OF LAWRENCE - 05024,ES&S DS200,ES&S Automark
BROWN - 05,TOWN OF LEDGEVIEW - 05025,ES&S DS200,ES&S Automark
BROWN - 05,TOWN OF MORRISON - 05026,ES&S DS200,ES&S Automark
BROWN - 05,TOWN OF NEW DENMARK - 05028,ES&S DS200,ES&S Automark
BROWN - 05,TOWN OF PITTSFIELD - 05030,ES&S DS200,ES&S Automark
BROWN - 05,TOWN OF ROCKLAND - 05034,ES&S DS200,ES&S Automark
BROWN - 05,TOWN OF SCOTT - 05036,ES&S DS200,ES&S Automark
BROWN - 05,TOWN OF WRIGHTSTOWN - 05040,ES&S DS200,ES&S Automark
BROWN - 05,VILLAGE OF ALLOUEZ - 05102,ES&S DS200,ES&S Automark
BROWN - 05,VILLAGE OF ASHWAUBENON - 05104,ES&S DS200,ES&S Automark
BROWN - 05,VILLAGE OF BELLEVUE - 05106,ES&S DS200,ES&S Automark
BROWN - 05,VILLAGE OF DENMARK - 05116,ES&S DS200,ES&S Automark
BROWN - 05,VILLAGE OF HOBART - 05126,ES&S DS200,ES&S Automark
BROWN - 05,VILLAGE OF HOWARD - MAIN - 05136,ES&S DS200,ES&S Automark
BROWN - 05,VILLAGE OF PULASKI - MAIN - 05171,ES&S DS200,ES&S Automark
BROWN - 05,VILLAGE OF SUAMICO - 05178,ES&S DS200,ES&S Automark
BROWN - 05,VILLAGE OF WRIGHTSTOWN - MAIN - 05191,ES&S DS200,ES&S Automark
BUFFALO - 06,CITY OF ALMA - 06201,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,CITY OF BUFFALO CITY - 06206,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,CITY OF FOUNTAIN CITY - 06226,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,CITY OF MONDOVI - 06251,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF ALMA - 06002,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF BELVIDERE - 06004,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF BUFFALO - 06006,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF CANTON - 06008,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF CROSS - 06010,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF DOVER - 06012,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF GILMANTON - 06014,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF GLENCOE - 06016,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF LINCOLN - 06018,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF MAXVILLE - 06020,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF MILTON - 06022,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF MODENA - 06024,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF MONDOVI - 06026,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF MONTANA - 06028,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF NAPLES - 06030,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF NELSON - 06032,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,TOWN OF WAUMANDEE - 06034,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,VILLAGE OF COCHRANE - 06111,None ,Dominion (Sequoia)/Command Central-Edge
BUFFALO - 06,VILLAGE OF NELSON - 06154,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF ANDERSON - 07002,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF BLAINE - 07004,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF DANIELS - 07006,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF DEWEY - 07008,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF GRANTSBURG - 07010,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF JACKSON - 07012,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF LA FOLLETTE - 07014,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF LINCOLN - 07016,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF MEENON - 07018,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF OAKLAND - 07020,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF ROOSEVELT - 07022,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF RUSK - 07024,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF SAND LAKE - 07026,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF SCOTT - 07028,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF SIREN - 07030,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF SWISS - 07032,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF TRADE LAKE - 07034,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF UNION - 07036,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF WEBB LAKE - 07038,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF WEST MARSHLAND - 07040,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,TOWN OF WOOD RIVER - 07042,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,VILLAGE OF GRANTSBURG - 07131,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,VILLAGE OF SIREN - 07181,None ,Dominion (Sequoia)/Command Central-Edge
BURNETT - 07,VILLAGE OF WEBSTER - 07191,None ,Dominion (Sequoia)/Command Central-Edge
CALUMET - 08,CITY OF BRILLION - 08206,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET - 08,CITY OF CHILTON - 08211,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET - 08,CITY OF NEW HOLSTEIN - 08261,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET - 08,TOWN OF BRILLION - 08002,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET - 08,TOWN OF BROTHERTOWN - 08004,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET - 08,TOWN OF CHARLESTOWN - 08006,None ,Dominion (Premier)-Accuvote TSX
CALUMET - 08,TOWN OF CHILTON - 08008,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET - 08,TOWN OF HARRISON - 08010,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET - 08,TOWN OF NEW HOLSTEIN - 08012,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET - 08,TOWN OF RANTOUL - 08014,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET - 08,TOWN OF STOCKBRIDGE - 08016,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET - 08,TOWN OF WOODVILLE - 08018,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET - 08,VILLAGE OF HARRISON - MAIN - 08131,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET - 08,VILLAGE OF HILBERT - 08136,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET - 08,VILLAGE OF POTTER - 08160,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET - 08,VILLAGE OF SHERWOOD - 08179,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CALUMET - 08,VILLAGE OF STOCKBRIDGE - 08181,Dominion (Premier)-Accuvote-OS,Dominion (Premier)-Accuvote TSX
CHIPPEWA - 09,CITY OF BLOOMER - 09206,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,CITY OF CHIPPEWA FALLS - 09211,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,CITY OF CORNELL - 09213,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,CITY OF STANLEY - MAIN - 09281,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF ANSON - 09002,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF ARTHUR - 09004,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF AUBURN - 09006,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF BIRCH CREEK - 09008,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF BLOOMER - 09010,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF CLEVELAND - 09012,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF COLBURN - 09014,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF COOKS VALLEY - 09016,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF DELMAR - 09018,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF EAGLE POINT - 09020,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF EDSON - 09022,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF ESTELLA - 09024,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF GOETZ - 09026,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF HALLIE - 09028,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF HOWARD - 09032,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF LAFAYETTE - 09034,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF LAKE HOLCOMBE - 09035,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF RUBY - 09036,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF SAMPSON - 09038,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF SIGEL - 09040,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF TILDEN - 09042,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF WHEATON - 09044,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,TOWN OF WOODMOHR - 09046,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,VILLAGE OF BOYD - 09106,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,VILLAGE OF CADOTT - 09111,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,VILLAGE OF LAKE HALLIE - 09128,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CHIPPEWA - 09,VILLAGE OF NEW AUBURN - MAIN - 09161,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
CLARK - 10,CITY OF ABBOTSFORD - MAIN - 10201,ES&S M100,ES&S Automark
CLARK - 10,CITY OF COLBY - MAIN - 10211,ES&S M100,ES&S Automark
CLARK - 10,CITY OF GREENWOOD - 10231,ES&S M100,ES&S iVotronic
CLARK - 10,CITY OF LOYAL - 10246,ES&S M100,ES&S iVotronic
CLARK - 10,CITY OF NEILLSVILLE - 10261,ES&S M100,ES&S Automark
CLARK - 10,CITY OF OWEN - 10265,ES&S M100,ES&S iVotronic
CLARK - 10,CITY OF THORP - 10286,ES&S M100,ES&S iVotronic
CLARK - 10,TOWN OF BEAVER - 10002,ES&S M100,ES&S iVotronic
CLARK - 10,TOWN OF BUTLER - 10004,None ,ES&S iVotronic
CLARK - 10,TOWN OF COLBY - 10006,ES&S M100,ES&S Automark
CLARK - 10,TOWN OF DEWHURST - 10008,None ,ES&S iVotronic
CLARK - 10,TOWN OF EATON - 10010,None ,ES&S iVotronic
CLARK - 10,TOWN OF FOSTER - 10012,None ,ES&S iVotronic
CLARK - 10,TOWN OF FREMONT - 10014,ES&S M100,ES&S iVotronic
CLARK - 10,TOWN OF GRANT - 10016,None ,ES&S iVotronic
CLARK - 10,TOWN OF GREEN GROVE - 10018,None ,ES&S iVotronic
CLARK - 10,TOWN OF HENDREN - 10020,None ,ES&S iVotronic
CLARK - 10,TOWN OF HEWETT - 10022,None ,ES&S iVotronic
CLARK - 10,TOWN OF HIXON - 10024,None ,ES&S iVotronic
CLARK - 10,TOWN OF HOARD - 10026,ES&S M100,ES&S iVotronic
CLARK - 10,TOWN OF LEVIS - 10028,None ,ES&S iVotronic
CLARK - 10,TOWN OF LONGWOOD - 10030,None ,ES&S iVotronic
CLARK - 10,TOWN OF LOYAL - 10032,None ,ES&S iVotronic
CLARK - 10,TOWN OF LYNN - 10034,None ,ES&S iVotronic
CLARK - 10,TOWN OF MAYVILLE - 10036,None ,ES&S iVotronic
CLARK - 10,TOWN OF MEAD - 10038,None ,ES&S iVotronic
CLARK - 10,TOWN OF MENTOR - 10040,None ,ES&S iVotronic
CLARK - 10,TOWN OF PINE VALLEY - 10042,ES&S M100,ES&S iVotronic
CLARK - 10,TOWN OF RESEBURG - 10044,None ,ES&S iVotronic
CLARK - 10,TOWN OF SEIF - 10046,None ,ES&S iVotronic
CLARK - 10,TOWN OF SHERMAN - 10048,ES&S M100,ES&S iVotronic
CLARK - 10,TOWN OF SHERWOOD - 10050,None ,ES&S iVotronic
CLARK - 10,TOWN OF THORP - 10052,None ,ES&S iVotronic
CLARK - 10,TOWN OF UNITY - 10054,ES&S M100,ES&S iVotronic
CLARK - 10,TOWN OF WARNER - 10056,None ,ES&S iVotronic
CLARK - 10,TOWN OF WASHBURN - 10058,None ,ES&S iVotronic
CLARK - 10,TOWN OF WESTON - 10060,ES&S M100,ES&S iVotronic
CLARK - 10,TOWN OF WITHEE - 10062,None ,ES&S iVotronic
CLARK - 10,TOWN OF WORDEN - 10064,None ,ES&S iVotronic
CLARK - 10,TOWN OF YORK - 10066,None ,ES&S iVotronic
CLARK - 10,VILLAGE OF CURTISS - 10111,ES&S M100,ES&S iVotronic
CLARK - 10,VILLAGE OF DORCHESTER - MAIN - 10116,None ,ES&S iVotronic
CLARK - 10,VILLAGE OF GRANTON - 10131,None ,ES&S iVotronic
CLARK - 10,VILLAGE OF WITHEE - 10191,None ,ES&S iVotronic
COLUMBIA - 11,CITY OF COLUMBUS - MAIN - 11211,ES&S M100,ES&S Automark
COLUMBIA - 11,CITY OF LODI - 11246,ES&S M100,ES&S Automark
COLUMBIA - 11,CITY OF PORTAGE - 11271,ES&S M100,ES&S Automark
COLUMBIA - 11,CITY OF WISCONSIN DELLS - MAIN - 11291,ES&S M100,ES&S Automark
COLUMBIA - 11,TOWN OF ARLINGTON - 11002,ES&S M100,ES&S Automark
COLUMBIA - 11,TOWN OF CALEDONIA - 11004,ES&S M100,ES&S Automark
COLUMBIA - 11,TOWN OF COLUMBUS - 11006,ES&S M100,ES&S Automark
COLUMBIA - 11,TOWN OF COURTLAND - 11008,ES&S M100,ES&S Automark
