pp_acc,fips_code,pp_std_cc,county,jurisdiction_type,coder,pp_acc_cc,make,vbm_acc,pp_acc_pc,source,state,other,pp_std_pc,ev_acc,abs_ballots,division,equip_type,date_obtained,population,all_vbm,ev_std,pp_std,prov_ballots,model
TRUE,0107100000,,Jackson,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",34709,,,,,AutoMARK
,0107300000,,Jefferson,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",411088,,,TRUE,TRUE,Model 100
TRUE,0107300000,,Jefferson,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",411088,,,,,AutoMARK
,0107500000,,Lamar,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",10519,,,TRUE,TRUE,Model 100
TRUE,0107500000,,Lamar,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",10519,,,,,AutoMARK
,0107700000,,Lauderdale,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",53562,,,TRUE,TRUE,DS200
TRUE,0107700000,,Lauderdale,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",53562,,,,,AutoMARK
,0107900000,,Lawrence,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",22088,,,TRUE,TRUE,DS200
TRUE,0107900000,,Lawrence,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",22088,,,,,AutoMARK
,0108100000,,Lee,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",86422,,,TRUE,TRUE,DS200
TRUE,0108100000,,Lee,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",86422,,,,,AutoMARK
,0108300000,,Limestone,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",49759,,,TRUE,TRUE,DS200
TRUE,0108300000,,Limestone,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",49759,,,,,AutoMARK
,0108500000,,Lowndes,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",10298,,,TRUE,TRUE,DS200
TRUE,0108500000,,Lowndes,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",10298,,,,,AutoMARK
,0108700000,,Macon,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",17692,,,TRUE,TRUE,DS200
TRUE,0108700000,,Macon,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",17692,,,,,AutoMARK
,0108900000,,Madison,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",231445,,,TRUE,TRUE,DS200
TRUE,0108900000,,Madison,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",231445,,,,,AutoMARK
,0109100000,,Marengo,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",16140,,,TRUE,TRUE,DS200
TRUE,0109100000,,Marengo,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",16140,,,,,AutoMARK
,0109300000,,Marion,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",18690,,,TRUE,TRUE,DS200
TRUE,0109300000,,Marion,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",18690,,,,,AutoMARK
,0109500000,,Marshall,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",49019,,,TRUE,TRUE,DS200
TRUE,0109500000,,Marshall,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",49019,,,,,AutoMARK
,0109700000,,Mobile,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",257886,,,TRUE,TRUE,Model 100
TRUE,0109700000,,Mobile,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",257886,,,,,AutoMARK
,0109900000,,Monroe,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",15502,,,TRUE,TRUE,DS200
TRUE,0109900000,,Monroe,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",15502,,,,,AutoMARK
,0110100000,,Montgomery,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",141089,,,TRUE,TRUE,Model 100
TRUE,0110100000,,Montgomery,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",141089,,,,,AutoMARK
,0110300000,,Morgan,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",67809,,,TRUE,TRUE,DS200
TRUE,0110300000,,Morgan,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",67809,,,,,AutoMARK
,0110500000,,Perry,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",8593,,,TRUE,TRUE,DS200
TRUE,0110500000,,Perry,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",8593,,,,,AutoMARK
,0110700000,,Pickens,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",13305,,,TRUE,TRUE,Model 100
TRUE,0110700000,,Pickens,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",13305,,,,,AutoMARK
,0110900000,,Pike,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",21191,,,TRUE,TRUE,DS200
TRUE,0110900000,,Pike,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",21191,,,,,AutoMARK
,0111100000,,Randolph,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",15468,,,TRUE,TRUE,Model 100
TRUE,0111100000,,Randolph,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",15468,,,,,AutoMARK
,0111300000,,Russell,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",31037,,,TRUE,TRUE,DS200
TRUE,0111300000,,Russell,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",31037,,,,,AutoMARK
,0111500000,,St. Clair,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015",51724,,,TRUE,TRUE,DS200
TRUE,0111500000,,St. Clair,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015",51724,,,,,AutoMARK
