fips_code,state,county,division,jurisdiction_type,equip_type,make,model,pp_std,pp_std_pc,pp_std_cc,pp_acc,pp_acc_pc,pp_acc_cc,ev_std,ev_acc,abs_ballots,prov_ballots,all_vbm,vbm_acc,other,source,date_obtained,coder
0101700000,AL,Chambers,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0101900000,AL,Cherokee,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0101900000,AL,Cherokee,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0102100000,AL,Chilton,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0102100000,AL,Chilton,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0102300000,AL,Choctaw,,County,Optical Scan,Election Systems & Software,Model 100,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0102300000,AL,Choctaw,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0102500000,AL,Clarke,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0102500000,AL,Clarke,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0102700000,AL,Clay,,County,Optical Scan,Election Systems & Software,Model 100,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0102700000,AL,Clay,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0102900000,AL,Cleburne,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0102900000,AL,Cleburne,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0103100000,AL,Coffee,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0103100000,AL,Coffee,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0103300000,AL,Colbert,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0103300000,AL,Colbert,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0103500000,AL,Conecuh,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0103500000,AL,Conecuh,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0103700000,AL,Coosa,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0103700000,AL,Coosa,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0103900000,AL,Covington,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0103900000,AL,Covington,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0104100000,AL,Crenshaw,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0104100000,AL,Crenshaw,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0104300000,AL,Cullman,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0104300000,AL,Cullman,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0104500000,AL,Dale,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0104500000,AL,Dale,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0104700000,AL,Dallas,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0104700000,AL,Dallas,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0104900000,AL,De Kalb,,County,Optical Scan,Election Systems & Software,Model 100,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0104900000,AL,De Kalb,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0105100000,AL,Elmore,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0105100000,AL,Elmore,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0105300000,AL,Escambia,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0105300000,AL,Escambia,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0105500000,AL,Etowah,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0105500000,AL,Etowah,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0105700000,AL,Fayette,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0105700000,AL,Fayette,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0105900000,AL,Franklin,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0105900000,AL,Franklin,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0106100000,AL,Geneva,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0106100000,AL,Geneva,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0106300000,AL,Greene,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0106300000,AL,Greene,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0106500000,AL,Hale,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0106500000,AL,Hale,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0106700000,AL,Henry,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0106700000,AL,Henry,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0106900000,AL,Houston,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0106900000,AL,Houston,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0107100000,AL,Jackson,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0107100000,AL,Jackson,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0107300000,AL,Jefferson,,County,Optical Scan,Election Systems & Software,Model 100,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0107300000,AL,Jefferson,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0107500000,AL,Lamar,,County,Optical Scan,Election Systems & Software,Model 100,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0107500000,AL,Lamar,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0107700000,AL,Lauderdale,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0107700000,AL,Lauderdale,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0107900000,AL,Lawrence,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0107900000,AL,Lawrence,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0108100000,AL,Lee,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0108100000,AL,Lee,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0108300000,AL,Limestone,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0108300000,AL,Limestone,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0108500000,AL,Lowndes,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0108500000,AL,Lowndes,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0108700000,AL,Macon,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0108700000,AL,Macon,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0108900000,AL,Madison,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0108900000,AL,Madison,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0109100000,AL,Marengo,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0109100000,AL,Marengo,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0109300000,AL,Marion,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0109300000,AL,Marion,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0109500000,AL,Marshall,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0109500000,AL,Marshall,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0109700000,AL,Mobile,,County,Optical Scan,Election Systems & Software,Model 100,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0109700000,AL,Mobile,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0109900000,AL,Monroe,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0109900000,AL,Monroe,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0110100000,AL,Montgomery,,County,Optical Scan,Election Systems & Software,Model 100,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0110100000,AL,Montgomery,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0110300000,AL,Morgan,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0110300000,AL,Morgan,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0110500000,AL,Perry,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0110500000,AL,Perry,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0110700000,AL,Pickens,,County,Optical Scan,Election Systems & Software,Model 100,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0110700000,AL,Pickens,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0110900000,AL,Pike,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0110900000,AL,Pike,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0111100000,AL,Randolph,,County,Optical Scan,Election Systems & Software,Model 100,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0111100000,AL,Randolph,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0111300000,AL,Russell,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0111300000,AL,Russell,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0111500000,AL,St. Clair,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0111500000,AL,St. Clair,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0111700000,AL,Shelby,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0111700000,AL,Shelby,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0111900000,AL,Sumter,,County,Optical Scan,Election Systems & Software,Model 100,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0111900000,AL,Sumter,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
